image,Adidas,Amazon,BMW,Apple,Audi,Mercedes,Coca-Cola,DHL,Google,IKEA,InPost,KFC,McDonalds,Pepsi,NewYorker,Zara,Nike,UFC
ufc_val_09.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ufc_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zara_val_01.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
zara_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
zara_val_07.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_09.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zara_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
